accuracy_m,altitude_m,bearing_degrees,latitude,longitude,speed_m_s,time_usec,vertical_accuracy_m
3.2160000801086426,212.6451416015625,0.0,55.75391061,48.74155034,0.0,89283751018,6.0
3.2160000801086426,212.6746826171875,0.0,55.75391043,48.74155047,0.0,89284760868,6.0
3.2160000801086426,212.7041015625,0.0,55.75391024,48.74155053,0.0,89285758036,6.0
3.2160000801086426,212.7313232421875,0.0,55.75390995,48.7415505,0.0,89286751354,6.0
3.2160000801086426,213.8543701171875,169.8000030517578,55.75390653,48.7415536,0.28999999165534973,89287754069,6.0
3.2160000801086426,215.76312255859375,167.89999389648438,55.75390037,48.74155423,0.18000000715255737,89288755626,6.0
3.2160000801086426,214.2669677734375,167.0,55.75388808,48.74154963,0.23000000417232513,89289749991,6.0
3.2160000801086426,216.328125,165.39999389648438,55.75387542,48.74155013,0.3499999940395355,89290751122,6.0
3.2160000801086426,213.4659423828125,164.3000030517578,55.75385408,48.74154924,1.2999999523162842,89291753433,6.0
3.2160000801086426,211.30810546875,165.0,55.75383736,48.74154821,0.6000000238418579,89292744917,6.0
3.2160000801086426,208.13983154296875,166.60000610351562,55.75382475,48.74154363,0.5400000214576721,89293746256,6.0
5.360000133514404,201.8681640625,167.6999969482422,55.75381067,48.74153027,0.27000001072883606,89294761692,8.0
6.432000160217285,196.78680419921875,167.60000610351562,55.75379497,48.74151433,0.47999998927116394,89295748971,8.0
6.432000160217285,193.9708251953125,169.10000610351562,55.75377872,48.74149611,0.7200000286102295,89296768861,8.0
7.504000186920166,191.15582275390625,170.10000610351562,55.75375857,48.74148677,0.9200000166893005,89297767673,12.0
7.504000186920166,189.001953125,170.89999389648438,55.7537259,48.74147848,2.680000066757202,89298750035,12.0
7.504000186920166,186.43292236328125,200.0,55.75368202,48.74145046,3.380000114440918,89299767345,12.0
8.576000213623047,181.4718017578125,201.8000030517578,55.75363349,48.74140282,3.9100000858306885,89300756712,12.0
7.504000186920166,184.6563720703125,203.10000610351562,55.75349403,48.74135108,5.880000114440918,89301756774,12.0
7.504000186920166,184.79217529296875,205.10000610351562,55.75343406,48.74132669,5.480000019073486,89302747930,12.0
7.504000186920166,185.9747314453125,205.60000610351562,55.75337772,48.7412894,3.2699999809265137,89303767668,8.0
6.432000160217285,186.3353271484375,200.5,55.75332526,48.7413007,2.3499999046325684,89304748894,8.0
6.432000160217285,187.15106201171875,188.6999969482422,55.75328743,48.74129913,1.909999966621399,89305748667,8.0
6.432000160217285,186.962158203125,169.89999389648438,55.75326108,48.74130135,2.390000104904175,89306760107,8.0
6.432000160217285,187.36346435546875,144.6999969482422,55.75323905,48.74131823,2.700000047683716,89307758375,8.0
5.360000133514404,187.6776123046875,121.69999694824219,55.75322181,48.7413642,3.940000057220459,89308760927,8.0
5.360000133514404,188.87457275390625,111.0999984741211,55.75320414,48.74143265,4.739999771118164,89309754180,8.0
4.288000106811523,189.2174072265625,106.5,55.75318857,48.74150703,4.849999904632568,89310754146,6.0
4.288000106811523,189.26544189453125,102.30000305175781,55.75317506,48.74157837,4.559999942779541,89311753312,6.0
3.2160000801086426,189.995361328125,100.80000305175781,55.75316627,48.74164591,4.389999866485596,89312751129,6.0
3.2160000801086426,190.4945068359375,102.5,55.75315666,48.74170054,3.5399999618530273,89313751725,6.0
4.288000106811523,192.01922607421875,111.5999984741211,55.7531437,48.74175174,3.2699999809265137,89314751774,6.0
3.2160000801086426,193.55712890625,128.1999969482422,55.75311763,48.74179341,3.0299999713897705,89315764068,6.0
3.2160000801086426,193.423095703125,150.10000610351562,55.75308719,48.74182473,3.240000009536743,89316749931,6.0
3.2160000801086426,194.9417724609375,173.5,55.75304582,48.74183901,3.940000057220459,89317755201,6.0
3.2160000801086426,193.56842041015625,188.8000030517578,55.75299589,48.74182732,4.190000057220459,89318758413,6.0
3.2160000801086426,194.333984375,193.8000030517578,55.75291557,48.7417981,5.769999980926514,89319758252,6.0
3.2160000801086426,195.0234375,190.6999969482422,55.75286416,48.74180621,5.440000057220459,89320758305,6.0
4.288000106811523,194.2928466796875,181.6999969482422,55.75279262,48.74179127,6.179999828338623,89321769995,6.0
4.288000106811523,194.82177734375,159.6999969482422,55.75273509,48.74181004,5.400000095367432,89322787103,6.0
4.288000106811523,195.56048583984375,132.60000610351562,55.75270086,48.741864,5.349999904632568,89323766250,6.0
3.2160000801086426,195.6842041015625,112.80000305175781,55.7526549,48.74193263,6.239999771118164,89324754589,6.0
4.288000106811523,196.8751220703125,110.0,55.75263663,48.74206944,8.199999809265137,89325759979,6.0
3.2160000801086426,195.991455078125,110.30000305175781,55.75260712,48.74219244,9.220000267028809,89326767236,6.0
3.2160000801086426,196.707763671875,109.9000015258789,55.75257749,48.7423361,10.039999961853027,89327790916,6.0
3.2160000801086426,197.0416259765625,111.5999984741211,55.75254239,48.74247429,9.800000190734863,89328758753,6.0
3.2160000801086426,196.9805908203125,112.0999984741211,55.75251127,48.74261609,9.5600004196167,89329760931,6.0
3.2160000801086426,197.009521484375,111.4000015258789,55.75247575,48.74274922,9.020000457763672,89330765256,4.0
3.2160000801086426,197.1455078125,112.0,55.75244172,48.74287838,8.779999732971191,89331750824,4.0
3.2160000801086426,196.7879638671875,110.9000015258789,55.75241612,48.74300515,8.489999771118164,89332751821,6.0
3.2160000801086426,196.97308349609375,110.9000015258789,55.75238575,48.74312765,8.289999961853027,89333769218,6.0
3.2160000801086426,196.9766845703125,113.5,55.7523554,48.74324868,8.130000114440918,89334769412,4.0
